researcher_name,profile_url,google_scholar_id,affiliation,researcher_total_citations,researcher_keywords,researcher_homepage,paper_title,paper_citations,paper_year,paper_url,paper_abstract
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Planning Sensing Strategies in a Robot Work Cell with Multi-Sensor Capabilities,290,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:Vr2j17o0sqMC,"In this paper we present an approach to planning sensing strategies in a robot work cell with multi-sensor capabilities. The system first forms an initial set of object hypotheses by using one of the sensors. Subsequently, the system reasons over different possibilities for selecting the next sensing operation, this being done in a manner so as to maximally disambiguate the initial set of hypotheses. The “next sensing operation “is characterized by both the choice of the sensor and the viewpoint to be used. Aspect graph representation of objects plays a central role in the selection of the viewpoint, these representations being derived automatically by a solid modelling program."
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Stable visual servoing through hybrid switched-system control,268,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:eQOLeE2rZwMC,"Visual servoing methods are commonly classified as image-based or position-based, depending on whether image features or the camera position define the signal error in the feedback loop of the control law. Choosing one method over the other gives asymptotic stability of the chosen error but surrenders control over the other. This can lead to system failure if feature points are lost or the robot moves to the end of its reachable space. We present a hybrid switched-system visual servo method that utilizes both image-based and position-based control laws. We prove the stability of a specific, state-based switching scheme and present simulated and experimental results."
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Robot Modeling and Control,261,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:v1_lew4L6wgC,
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,A framework for real-time path planning in changing environments,219,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:UebtZRa9Y70C,"We present a new method for generating collision-free paths for robots operating in changing environments. Our approach is closely related to recent probabilistic roadmap approaches. These planners use preprocessing and query stages, and are aimed at planning many times in the same environment. In contrast, our preprocessing stage creates a representation of the configuration space that can be easily modified in real time to account for changes in the environment, thus facilitating real-time planning. As with previous approaches, we begin by constructing a graph that represents a roadmap in the configuration space, but we do not construct this graph for a specific workspace. Instead, we construct the graph for an obstacle-free workspace, and encode the mapping from workspace cells to nodes and arcs in the graph. When the environment changes, this mapping is used to make the appropriate modifications …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Visual compliance: Task-directed visual servo control,215,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:IjCSPb-OGe4C,"This paper introduces visual compliance, a new vision-based control scheme that lends itself to task-level specification of manipulation goals. Visual compliance is effected by a hybrid vision/position control structure. Specifically, the two degrees of freedom parallel to the image plane of a supervisory camera are controlled using visual feedback, and the remaining degree of freedom (perpendicular to the camera image plane) is controlled using position feedback provided by the robot joint encoders. With visual compliance, the motion of the end effector is constrained so that the tool center of the end effector maintains ""contact"" with a specified projection ray of the imaging system. This type of constrained motion can be exploited for grasping, parts mating, and assembly. The authors begin by deriving the projection equations for the vision system. They then derive equations used to position the manipulator prior to the …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Coordinating the motions of multiple robots with specified trajectories,177,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:zYLM7Y9cAGgC,"Coordinating the motions of multiple robots operating in a shared workspace without collisions is an important capability. We address the task of coordinating the motions of multiple robots when their trajectories (defined by both the path and velocity along the path) are specified. This problem of collision-free trajectory coordination arises in welding and painting workcells in the automotive industry. We identify sufficient and necessary conditions for collision-free coordination of the robots when only the robot start times can be varied, and define corresponding optimization problems. We develop mixed integer programming formulations of these problems to automatically generate minimum time solutions. This method is applicable to both mobile robots and articulated arms, and places no restrictions on the number of degrees of freedom of the robots. The primary advantage of this method is its ability to coordinate the …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Path planning for permutation-invariant multirobot formations,175,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:M3ejUd6NZC8C,"In many multirobot applications, the specific assignment of goal configurations to robots is less important than the overall behavior of the robot formation. In such cases, it is convenient to define a permutation-invariant multirobot formation as a set of robot configurations, without assigning specific configurations to specific robots. For the case of robots that translate in the plane, we can represent such a formation by the coefficients of a complex polynomial whose roots represent the robot configurations. Since these coefficients are invariant with respect to permutation of the roots of the polynomial, they provide an effective representation for permutation-invariant formations. In this paper, we extend this idea to build a full representation of a permutation-invariant formation space. We describe the properties of the representation, and show how it can be used to construct collision-free paths for permutation-invariant …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Estimating uncertainty in SSD-based feature tracking,162,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:Y0pCki6q_DkC,"Sum-of-squared-differences (SSD) based feature trackers have enjoyed growing popularity in recent years, particularly in the field of visual servo control of robotic manipulators. These trackers use SSD correlation measures to locate target features in sequences of images. The results can then be used to estimate the motion of objects in the scene, to infer the 3D structure of the scene, or to control robot motions. The reliability of the information provided by these trackers can be degraded by a variety of factors, including changes in illumination, poor image contrast, occlusion of features, or unmodeled changes in objects. This has led other researchers to develop confidence measures that are used to either accept or reject individual features that are located by the tracker. In this paper, we derive quantitative measures for the spatial uncertainty of the results provided by SSD-based feature trackers. Unlike previous …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Optimal paths for landmark-based navigation by differential-drive vehicles with field-of-view constraints,158,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:Se3iqnhoufwC,"In this paper, we consider the problem of planning optimal paths for a differential-drive robot with limited sensing, that must maintain visibility of a fixed landmark as it navigates in its environment. In particular, we assume that the robot's vision sensor has a limited field of view (FOV), and that the fixed landmark must remain within the FOV throughout the robot's motion. We first investigate the nature of extremal paths that satisfy the FOV constraint. These extremal paths saturate the camera pan angle. We then show that optimal paths are composed of straight-line segments and sections of these these extremal paths. We provide the complete characterization of the shortest paths for the system by partitioning the plane into a set of disjoint regions, such that the structure of the optimal path is invariant over the individual regions"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Planning exploration strategies for simultaneous localization and mapping,157,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:0EnyYjriUFMC,"In this paper, we present techniques that allow one or multiple mobile robots to efficiently explore and model their environment. While much existing research in the area of Simultaneous Localization and Mapping (SLAM) focuses on issues related to uncertainty in sensor data, our work focuses on the problem of planning optimal exploration strategies. We develop a utility function that measures the quality of proposed sensing locations, give a randomized algorithm for selecting an optimal next sensing location, and provide methods for extracting features from sensor data and merging these into an incrementally constructed map. We also provide an efficient algorithm driven by our utility function. This algorithm is able to explore several steps ahead without incurring too high a computational cost. We have compared that exploration strategy with a totally greedy algorithm that optimizes our utility function with a one …"
